country,date,total
United States,2020-01-27,5.0
United States,2020-02-03,11.0
United States,2020-02-10,12.0
United States,2020-02-17,14.0
United States,2020-02-24,16.0
United States,2020-03-02,55.0
United States,2020-03-09,594.0
United States,2020-03-16,4679.0
United States,2020-03-23,46086.0
United States,2020-03-30,165861.0
United States,2020-04-06,382613.0
United States,2020-04-13,598310.0
United States,2020-04-20,799212.0
United States,2020-04-27,1000298.0
United States,2020-05-04,1191044.0
United States,2020-05-11,1357483.0
United States,2020-05-18,1517141.0
United States,2020-05-25,1670191.0
United States,2020-06-01,1814872.0
United States,2020-06-08,1959544.0
United States,2020-06-15,2110275.0
United States,2020-06-22,2308053.0
United States,2020-06-29,2586503.0
United States,2020-07-06,2930846.0
United States,2020-07-13,3360256.0
United States,2020-07-20,3829250.0
United States,2020-07-27,4283359.0
United States,2020-08-03,4705268.0
United States,2020-08-10,5085040.0
United States,2020-08-17,5429594.0
United States,2020-08-24,5729043.0
United States,2020-08-31,6019738.0
United States,2020-09-07,6294514.0
United States,2020-09-14,6548677.0
United States,2020-09-21,6852890.0
United States,2020-09-28,7141071.0
United States,2020-10-05,7446971.0
United States,2020-10-12,7799197.0
United States,2020-10-19,8216529.0
United States,2020-10-26,8709253.0
United States,2020-11-02,9329717.0
United States,2020-11-09,10175064.0
United States,2020-11-16,11265499.0
United States,2020-11-23,12481695.0
United States,2020-11-30,13609267.0
United States,2020-12-07,15031055.0
United States,2020-12-14,16539567.0
United States,2020-12-21,18048042.0
United States,2020-12-28,19316550.0
United States,2021-01-04,20819087.0
India,2020-01-27,0.0
India,2020-02-03,3.0
India,2020-02-10,3.0
India,2020-02-17,3.0
India,2020-02-24,3.0
India,2020-03-02,5.0
India,2020-03-09,43.0
India,2020-03-16,119.0
India,2020-03-23,499.0
India,2020-03-30,1251.0
India,2020-04-06,4778.0
India,2020-04-13,10453.0
India,2020-04-20,18539.0
India,2020-04-27,29451.0
India,2020-05-04,46437.0
India,2020-05-11,70768.0
India,2020-05-18,100328.0
India,2020-05-25,144950.0
India,2020-06-01,198370.0
India,2020-06-08,265928.0
India,2020-06-15,343091.0
India,2020-06-22,440215.0
India,2020-06-29,566840.0
India,2020-07-06,719664.0
India,2020-07-13,906752.0
India,2020-07-20,1155338.0
India,2020-07-27,1480073.0
India,2020-08-03,1855745.0
India,2020-08-10,2268675.0
India,2020-08-17,2702681.0
India,2020-08-24,3167323.0
India,2020-08-31,3691166.0
India,2020-09-07,4280422.0
India,2020-09-14,4930236.0
India,2020-09-21,5562663.0
India,2020-09-28,6145291.0
India,2020-10-05,6685082.0
India,2020-10-12,7175880.0
India,2020-10-19,7597063.0
India,2020-10-26,7946429.0
India,2020-11-02,8267623.0
India,2020-11-09,8591730.0
India,2020-11-16,8874290.0
India,2020-11-23,9177840.0
India,2020-11-30,9462809.0
India,2020-12-07,9703770.0
India,2020-12-14,9906165.0
India,2020-12-21,10075116.0
India,2020-12-28,10224303.0
India,2021-01-04,10356844.0
Brazil,2020-01-27,0.0
Brazil,2020-02-03,0.0
Brazil,2020-02-10,0.0
Brazil,2020-02-17,0.0
Brazil,2020-02-24,0.0
Brazil,2020-03-02,2.0
Brazil,2020-03-09,25.0
Brazil,2020-03-16,200.0
Brazil,2020-03-23,1924.0
Brazil,2020-03-30,4579.0
Brazil,2020-04-06,12161.0
Brazil,2020-04-13,23430.0
Brazil,2020-04-20,40743.0
Brazil,2020-04-27,67446.0
Brazil,2020-05-04,108620.0
Brazil,2020-05-11,169594.0
Brazil,2020-05-18,255368.0
Brazil,2020-05-25,374898.0
Brazil,2020-06-01,526447.0
Brazil,2020-06-08,707412.0
Brazil,2020-06-15,888271.0
Brazil,2020-06-22,1106470.0
Brazil,2020-06-29,1368195.0
Brazil,2020-07-06,1623284.0
Brazil,2020-07-13,1884967.0
Brazil,2020-07-20,2118646.0
Brazil,2020-07-27,2442375.0
Brazil,2020-08-03,2750318.0
Brazil,2020-08-10,3057470.0
Brazil,2020-08-17,3359570.0
Brazil,2020-08-24,3622861.0
Brazil,2020-08-31,3908272.0
Brazil,2020-09-07,4147794.0
Brazil,2020-09-14,4345610.0
Brazil,2020-09-21,4558040.0
Brazil,2020-09-28,4745464.0
Brazil,2020-10-05,4927235.0
Brazil,2020-10-12,5103408.0
Brazil,2020-10-19,5250727.0
Brazil,2020-10-26,5409854.0
Brazil,2020-11-02,5554206.0
Brazil,2020-11-09,5675032.0
Brazil,2020-11-16,5876464.0
Brazil,2020-11-23,6087608.0
Brazil,2020-11-30,6335878.0
Brazil,2020-12-07,6623911.0
Brazil,2020-12-14,6927145.0
Brazil,2020-12-21,7263619.0
Brazil,2020-12-28,7504833.0
Brazil,2021-01-04,7753752.0
Russia,2020-01-27,0.0
Russia,2020-02-03,2.0
Russia,2020-02-10,2.0
Russia,2020-02-17,2.0
Russia,2020-02-24,2.0
Russia,2020-03-02,3.0
Russia,2020-03-09,17.0
Russia,2020-03-16,90.0
Russia,2020-03-23,438.0
Russia,2020-03-30,1836.0
Russia,2020-04-06,6343.0
Russia,2020-04-13,18328.0
Russia,2020-04-20,47121.0
Russia,2020-04-27,87147.0
Russia,2020-05-04,145268.0
Russia,2020-05-11,221344.0
Russia,2020-05-18,290678.0
Russia,2020-05-25,353427.0
Russia,2020-06-01,414328.0
Russia,2020-06-08,476043.0
Russia,2020-06-15,536484.0
Russia,2020-06-22,591465.0
Russia,2020-06-29,640246.0
Russia,2020-07-06,686852.0
Russia,2020-07-13,732547.0
Russia,2020-07-20,776212.0
Russia,2020-07-27,816680.0
Russia,2020-08-03,854641.0
Russia,2020-08-10,890799.0
Russia,2020-08-17,925558.0
Russia,2020-08-24,959016.0
Russia,2020-08-31,992402.0
Russia,2020-09-07,1027334.0
Russia,2020-09-14,1064438.0
Russia,2020-09-21,1105048.0
Russia,2020-09-28,1154299.0
Russia,2020-10-05,1219796.0
Russia,2020-10-12,1305093.0
Russia,2020-10-19,1406667.0
Russia,2020-10-26,1520800.0
Russia,2020-11-02,1642665.0
Russia,2020-11-09,1781997.0
Russia,2020-11-16,1932711.0
Russia,2020-11-23,2096749.0
Russia,2020-11-30,2275936.0
Russia,2020-12-07,2466961.0
Russia,2020-12-14,2656601.0
Russia,2020-12-21,2850042.0
Russia,2020-12-28,3047335.0
Russia,2021-01-04,3226758.0
United Kingdom,2020-01-27,0.0
United Kingdom,2020-02-03,8.0
United Kingdom,2020-02-10,14.0
United Kingdom,2020-02-17,19.0
United Kingdom,2020-02-24,30.0
United Kingdom,2020-03-02,134.0
United Kingdom,2020-03-09,630.0
United Kingdom,2020-03-16,3692.0
United Kingdom,2020-03-23,12744.0
United Kingdom,2020-03-30,34281.0
United Kingdom,2020-04-06,66738.0
United Kingdom,2020-04-13,98017.0
United Kingdom,2020-04-20,131260.0
United Kingdom,2020-04-27,163630.0
United Kingdom,2020-05-04,193091.0
United Kingdom,2020-05-11,215500.0
United Kingdom,2020-05-18,233809.0
United Kingdom,2020-05-25,248650.0
United Kingdom,2020-06-01,258983.0
United Kingdom,2020-06-08,266756.0
United Kingdom,2020-06-15,273888.0
United Kingdom,2020-06-22,280156.0
United Kingdom,2020-06-29,284812.0
United Kingdom,2020-07-06,287290.0
United Kingdom,2020-07-13,291691.0
United Kingdom,2020-07-20,296944.0
United Kingdom,2020-07-27,301708.0
United Kingdom,2020-08-03,307251.0
United Kingdom,2020-08-10,313392.0
United Kingdom,2020-08-17,321064.0
United Kingdom,2020-08-24,328620.0
United Kingdom,2020-08-31,338083.0
United Kingdom,2020-09-07,352451.0
United Kingdom,2020-09-14,373555.0
United Kingdom,2020-09-21,401122.0
United Kingdom,2020-09-28,441573.0
United Kingdom,2020-10-05,518222.0
United Kingdom,2020-10-12,620458.0
United Kingdom,2020-10-19,744122.0
United Kingdom,2020-10-26,897740.0
United Kingdom,2020-11-02,1057021.0
United Kingdom,2020-11-09,1216747.0
United Kingdom,2020-11-16,1394299.0
United Kingdom,2020-11-23,1531267.0
United Kingdom,2020-11-30,1633733.0
United Kingdom,2020-12-07,1742525.0
United Kingdom,2020-12-14,1874867.0
United Kingdom,2020-12-21,2079678.0
United Kingdom,2020-12-28,2336688.0
United Kingdom,2021-01-04,2721622.0
Canada,2020-01-27,1.0
Canada,2020-02-03,4.0
Canada,2020-02-10,7.0
Canada,2020-02-17,8.0
Canada,2020-02-24,10.0
Canada,2020-03-02,27.0
Canada,2020-03-09,77.0
Canada,2020-03-16,415.0
Canada,2020-03-23,2088.0
Canada,2020-03-30,7398.0
Canada,2020-04-06,16563.0
Canada,2020-04-13,25680.0
Canada,2020-04-20,37658.0
Canada,2020-04-27,49616.0
Canada,2020-05-04,61957.0
Canada,2020-05-11,71264.0
Canada,2020-05-18,79411.0
Canada,2020-05-25,87119.0
Canada,2020-06-01,93288.0
Canada,2020-06-08,97779.0
Canada,2020-06-15,100763.0
Canada,2020-06-22,103418.0
Canada,2020-06-29,105830.0
Canada,2020-07-06,107815.0
Canada,2020-07-13,109984.0
Canada,2020-07-20,112938.0
Canada,2020-07-27,116471.0
Canada,2020-08-03,118973.0
Canada,2020-08-10,122053.0
Canada,2020-08-17,124218.0
Canada,2020-08-24,127594.0
Canada,2020-08-31,130918.0
Canada,2020-09-07,134295.0
Canada,2020-09-14,140098.0
Canada,2020-09-21,147583.0
Canada,2020-09-28,157219.0
Canada,2020-10-05,171384.0
Canada,2020-10-12,185378.0
Canada,2020-10-19,204111.0
Canada,2020-10-26,222973.0
Canada,2020-11-02,243178.0
Canada,2020-11-09,272036.0
Canada,2020-11-16,305473.0
Canada,2020-11-23,340731.0
Canada,2020-11-30,381557.0
Canada,2020-12-07,426572.0
Canada,2020-12-14,472820.0
Canada,2020-12-21,519325.0
Canada,2020-12-28,560618.0
Canada,2021-01-04,616134.0
China,2020-01-27,2877.0
China,2020-02-03,19716.0
China,2020-02-10,42354.0
China,2020-02-17,72434.0
China,2020-02-24,77241.0
China,2020-03-02,80136.0
China,2020-03-09,80860.0
China,2020-03-16,81033.0
China,2020-03-23,81498.0
China,2020-03-30,82198.0
China,2020-04-06,82665.0
China,2020-04-13,83213.0
China,2020-04-20,83817.0
China,2020-04-27,83918.0
China,2020-05-04,83966.0
China,2020-05-11,84011.0
China,2020-05-18,84063.0
China,2020-05-25,84102.0
China,2020-06-01,84154.0
China,2020-06-08,84195.0
China,2020-06-15,84378.0
China,2020-06-22,84624.0
China,2020-06-29,84780.0
China,2020-07-06,84889.0
China,2020-07-13,85117.0
China,2020-07-20,85622.0
China,2020-07-27,86783.0
China,2020-08-03,88099.0
China,2020-08-10,88906.0
China,2020-08-17,89441.0
China,2020-08-24,89718.0
China,2020-08-31,89914.0
China,2020-09-07,90078.0
China,2020-09-14,90219.0
China,2020-09-21,90381.0
China,2020-09-28,90505.0
China,2020-10-05,90652.0
China,2020-10-12,90830.0
China,2020-10-19,91006.0
China,2020-10-26,91175.0
China,2020-11-02,91452.0
China,2020-11-09,91693.0
China,2020-11-16,91872.0
China,2020-11-23,92211.0
China,2020-11-30,92902.0
China,2020-12-07,93670.0
China,2020-12-14,94427.0
China,2020-12-21,95150.0
China,2020-12-28,95720.0
China,2021-01-04,96246.0